dataset,config,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
scaling,top-5,789,1.7628147393801246,1.8751062903545284,0.9195153538834518,0.9078390099659315,1.0345535387054263,1.0527320005007832,0.2961205089231953,0.000366299063898623
scaling,top-1,1024,5.636256362959919,5.6943382229397645,0.7342098001516213,0.7213159360031831,1.8983806548149378,1.9125388426056125,0.044651513919234276,0.0002683349885046482
scaling,top-2,1024,3.3340567886249484,3.5195208853163393,0.8427751395450905,0.8277527000959796,1.432690382837181,1.4761492049266924,0.08483457297552377,0.00028882292099297047
scaling,top-3,1024,2.9827728568524603,3.2286960696923264,0.8593407143551585,0.8419858275211684,1.358573258700261,1.4247840368975648,0.15065472503192723,0.00030859000980854034
scaling,top-5,1024,1.595406924129726,1.5814734438693316,0.9247650394345729,0.9226018144364782,0.978794705205185,0.9821315815930786,0.3082898259162903,0.0004000620683655143
correlated,top-1,42,0.25951585098665375,0.24567331673782514,0.9823296260409135,0.9834785500670289,0.40623003984760364,0.39145300852543036,0.06175863998942077,0.00037042598705738783
correlated,top-2,42,0.2552417312140015,0.24722798680404007,0.9826206498625473,0.9833739990152406,0.4044581557270801,0.39114003528319324,0.11597060994245112,0.0003507899818941951
correlated,top-3,42,0.2530431359959491,0.24474432078462605,0.9827703516997951,0.9835410247400317,0.4023215765747163,0.39139031326699864,0.1732488510897383,0.000346560962498188
correlated,top-5,42,0.25238660271187213,0.2490069264661313,0.9828150548984711,0.9832543659067237,0.40226674855703304,0.39431380587652637,0.2831219029612839,0.0003481640014797449
correlated,top-1,123,0.2612992308317813,0.27660722448476566,0.9821628697915379,0.9804648268707004,0.40662945782221743,0.4149517882579496,0.0626315699191764,0.0003601370844990015
correlated,top-2,123,0.25340899974573117,0.2735640681744919,0.9827014824725195,0.9806797474516485,0.39972664607129416,0.4144070414547864,0.1149780749110505,0.00034742301795631647
correlated,top-3,123,0.2513527593357231,0.2769230682504681,0.9828418480901926,0.9804425206469338,0.3981047698841266,0.4150308281769359,0.16871896910015494,0.00034480798058211803
correlated,top-5,123,0.24964775912129586,0.27522578141433324,0.982958236916648,0.9805623902282715,0.3965591464767869,0.4164344301262222,0.2756195750553161,0.0003604569938033819
correlated,top-1,456,0.27903334554086473,0.2706441360503616,0.981523276804278,0.9825656414922909,0.41730892990686913,0.415884035459865,0.05987024202477187,0.000352062052115798
correlated,top-2,456,0.26028385356425054,0.24856342155610242,0.9827648100433997,0.9839880373299293,0.4062900208224761,0.3978688344237058,0.11575592600274831,0.0003172759898006916
correlated,top-3,456,0.2576893514297046,0.24692069755654455,0.9829366099323261,0.9840938583521597,0.4049113591249497,0.39567154716555436,0.17144025198649615,0.00034005893394351006
correlated,top-5,456,0.2570054450109509,0.24525433899619412,0.9829818960954068,0.9842012018659246,0.4037318114667362,0.39527707976454923,0.28002088400535285,0.00032637303229421377
correlated,top-1,789,0.2537365523057004,0.2684899392745637,0.9835369958771856,0.9826851107163079,0.40340153831242137,0.41589801026734674,0.0653558699414134,0.0003553880378603935
correlated,top-2,789,0.24988281470012746,0.262775015445841,0.9837870351305461,0.9830536655814416,0.4006977718984488,0.40920070701796274,0.10971300094388425,0.00031657505314797163
