dataset,model,test_mse_mean,test_mse_std,test_r2_mean,test_r2_std,fit_time_mean
correlated,RandomForest,2.0680737553696256,0.15225759035981556,0.8625426893916194,0.00649065507669079,0.30765200974419715
correlated,Ridge,0.7106048990039471,0.05147647489671509,0.9526893819831665,0.0036506518433532453,0.0003463534638285637
diabetes,ACGMT (full),3550.9709548985156,334.8242349816089,0.38294935202735625,0.029654033440299696,0.0147091762162745
diabetes,"ACGMT (top1, no-std)",3605.813915501778,245.46411740520878,0.37052588268120534,0.05926074108941025,0.005464048124849796
diabetes,"ACGMT (top3, std)",3682.1545011561916,376.32057859491897,0.3574145111023511,0.07477351126690049,0.011515834834426641
diabetes,CART,4214.103042245005,545.9827415193099,0.2652422814778027,0.09928505796506491,0.0006708660162985325
diabetes,GradientBoosting,3720.9374863899743,562.2143879531802,0.3519121412813238,0.09285899949913501,0.053317729756236075
diabetes,RHM (original),3605.813915501778,245.46411740520878,0.37052588268120534,0.05926074108941025,0.01720594735816121
diabetes,RandomForest,3277.122364753331,404.02422544102353,0.42826164388226823,0.07584484005861329,0.053672320861369374
diabetes,Ridge,3381.424530240919,282.83037869962806,0.4116632601093543,0.03435535357411073,0.00024006022140383721
friedman1,ACGMT (full),3.66480373223731,0.1081926312695469,0.8501295601037139,0.005431503898240722,0.35967672569677234
friedman1,"ACGMT (top1, no-std)",6.632466751072615,0.2441815769210988,0.7288461563184586,0.008869188619937064,0.06732554975897073
friedman1,"ACGMT (top3, std)",3.6806556655725324,0.16356970879126992,0.8494269806154792,0.008725658558359582,0.22828945536166428
friedman1,CART,8.885180314979667,0.1618636102617991,0.6366033958132153,0.011842983541370042,0.009310993645340205
friedman1,GradientBoosting,1.545004664087252,0.05236803969627986,0.9368110954407397,0.002701224191558413,0.9447090320289135
friedman1,RHM (original),6.632466751072615,0.24418157692109949,0.7288461563184586,0.008869188619937064,0.16527168145403265
friedman1,RandomForest,6.9585593759599815,0.1310819219655701,0.7153631498584341,0.010704338553782493,0.5742532335221767
friedman1,Ridge,6.588373487373286,0.20423446252450586,0.7306389789238545,0.007536907365040651,0.00043825600296258925
interaction,ACGMT (full),0.38897631527843973,0.09297070152027131,0.9526760504248685,0.01060904922063896,0.2845943752676249
interaction,"ACGMT (top1, no-std)",4.745536452043214,0.6856895692777097,0.42050795652880407,0.09061085603209912,0.048407876119017604
interaction,"ACGMT (top3, std)",0.38465771494399476,0.07081516692698285,0.9531712475200174,0.007924192062911993,0.18218099251389502
interaction,CART,1.9473589348379896,0.10730937477652602,0.7624209245655541,0.013510767131541713,0.00446526100859046
interaction,GradientBoosting,0.35159444206047386,0.03603917983864741,0.9570979637740653,0.004492457728375735,0.44555025510489943
interaction,RHM (original),4.745536452043215,0.6856895692777101,0.420507956528804,0.09061085603209917,0.13181124841794373
interaction,RandomForest,1.3866498488550218,0.06401428578293382,0.8307737903345057,0.009581157227478843,0.28147828225046395
interaction,Ridge,5.101695378161627,0.2763106976866433,0.37697173801565065,0.047118490602535965,0.000321557093411684
irrelevant,ACGMT (full),0.3103414644940646,0.011216690503763055,0.992052660291159,0.0005311838460825239,0.34380476726219056
irrelevant,"ACGMT (top1, no-std)",0.3156995766183702,0.013701632021271377,0.9919215599944389,0.000440919936961835,0.08186955712735652
irrelevant,"ACGMT (top3, std)",0.3030785447293146,0.018962657105547984,0.9922474467523722,0.000500210332080669,0.22661673482507466
irrelevant,CART,7.424351721211551,0.3653170993974086,0.810073716950666,0.010191451309234474,0.016241941694170238
irrelevant,GradientBoosting,0.45251153205867534,0.03008711120724644,0.9884057644919944,0.001069324671034424,1.6769340682774783
irrelevant,RHM (original),0.3156995766183702,0.013701632021271438,0.9919215599944389,0.000440919936961835,0.25576697001233695
irrelevant,RandomForest,5.00199368824108,0.28130264179829223,0.8719242767263232,0.009740385887053508,1.0091682407073677
irrelevant,Ridge,1.8095395718395142,0.16577064544401504,0.9537727429158709,0.0033955514236789918,0.0006329772062599659
regime,ACGMT (full),0.3254491234348538,0.02939467355779462,0.9137388918571265,0.00946463727184284,0.243429266102612
regime,"ACGMT (top1, no-std)",2.7913961938722944,0.12796038925117667,0.2614474226554869,0.026365146714464983,0.051801176834851505
regime,"ACGMT (top3, std)",0.35231661365295686,0.04634437758616381,0.9065955234018259,0.01369985908693195,0.16844143569469452
regime,CART,0.9499381342568916,0.030421996704459497,0.7485732431450197,0.008547446662520218,0.0045083072036504745
regime,GradientBoosting,0.2735273403394264,0.013880099190931128,0.9275384628425872,0.005074293350733598,0.4806325644254684
regime,RHM (original),2.791396193872294,0.12796038925117667,0.2614474226554869,0.026365146714465014,0.14151554126292468
regime,RandomForest,0.8203915745756815,0.026369193191941587,0.7828804897001976,0.0064679048412725594,0.28318486036732793
regime,Ridge,2.758071164328219,0.11100433730871126,0.2701435475833766,0.02583137389387759,0.00031682979315519335
scaling,ACGMT (full),2.998039738613187,0.540732532390083,0.8539626533674426,0.027321098234161696,0.2474164193496108
scaling,"ACGMT (top1, no-std)",3.01959595938912,0.16746297872532728,0.8530171126524386,0.008702146688520944,0.06647897707298397
scaling,"ACGMT (top3, std)",2.9631507834754927,0.3421983343803946,0.8557807909302871,0.01678867084619235,0.1642757397145033
scaling,CART,10.649056375786909,0.4373226408207737,0.4817364826643621,0.0212270152614934,0.004924906697124243
scaling,GradientBoosting,0.6148869017813287,0.04759859274817167,0.9700691965307678,0.0023940522709559047,0.45581973642110823
scaling,RHM (original),3.01959595938912,0.16746297872532737,0.8530171126524386,0.008702146688520944,0.1913703542202711
scaling,RandomForest,6.8326322154170445,0.1743077040581826,0.6674702160961294,0.008452345055212813,0.31072302618995307
scaling,Ridge,6.491665245666942,0.31969392376183814,0.6840299234529211,0.016483104329395346,0.000423920713365078
yacht,ACGMT (full),88.42856354216318,34.507106682587256,0.5768074167455554,0.04088131536012868,0.0007786222733557225
yacht,"ACGMT (top1, no-std)",75.81971611002993,28.12660426025587,0.631916605109722,0.04436332957873373,0.002375613711774349
yacht,"ACGMT (top3, std)",75.81971611002993,28.12660426025587,0.631916605109722,0.04436332957873373,0.0036456515081226826
yacht,CART,1.210337776364441,0.4221970175184506,0.99401546473976,0.0014383495063590057,0.0003334455192089081
yacht,GradientBoosting,0.42284160115195346,0.35210010354994875,0.9981298543065767,0.0012122458216370236,0.01941235363483429
yacht,RHM (original),75.81971611002993,28.126604260255892,0.631916605109722,0.04436332957873373,0.007193932868540287
yacht,RandomForest,0.977061136313727,0.630002952364753,0.9953144177674407,0.002380261014650473,0.032775763794779776
yacht,Ridge,82.84109811735712,31.628265324259186,0.6022833646387282,0.03684839941803156,0.00024757012724876406
