dataset,config,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
irrelevant,with-prune,42,0.2664576074426171,0.3233663471023395,0.9931743001860115,0.9918490781996974,0.40888584346090634,0.45256385858215364,4.861040799994953,0.004738700052257627
irrelevant,no-prune,123,0.26214813838527695,0.3043456524528288,0.9935517126109294,0.9919029258944284,0.40341432190999127,0.4433904628450586,8.31755959999282,0.01445590000366792
irrelevant,with-prune,123,0.2632452359966175,0.2938537005354922,0.9935247263399783,0.9921820628280501,0.4062709625708543,0.4362551532414123,8.044647399976384,0.00814579997677356
irrelevant,no-prune,456,0.2695859282022949,0.3136495980982437,0.9933243626413016,0.9922618135260277,0.4103458913481599,0.44601893265571435,5.7981875000405125,0.08718649996444583
irrelevant,with-prune,456,0.27509765312412143,0.30651549509153536,0.9931878782296546,0.9924378221028763,0.41699461007193767,0.44636078002300655,8.915185999998357,0.010200300021097064
irrelevant,no-prune,789,0.266138358108377,0.3039004530098481,0.9933079694138448,0.9914301984326711,0.4070891663741904,0.44166466683239675,6.5660769999958575,0.010790099971927702
irrelevant,with-prune,789,0.2877221442306092,0.31077957254383115,0.9927652466063486,0.9912362115900051,0.4210170093039519,0.44264604636988847,7.637528299994301,0.00503879995085299
irrelevant,no-prune,1024,0.26676781273021877,0.3274927803106289,0.9930944690661271,0.9923164576212139,0.40516711867700267,0.45344178205251956,6.621701199968811,0.019988999993074685
irrelevant,with-prune,1024,0.2681216163346401,0.31719220719712443,0.993059424610902,0.992558126735166,0.40680992296169305,0.44255931443096835,7.695837699982803,0.0032878000056371093
interaction,no-prune,42,0.3862796478437606,0.443434984363145,0.9530015269844906,0.9483777816196586,0.4553710638088947,0.46345856222216636,6.483060200000182,0.005207600013818592
interaction,with-prune,42,0.41867383228584754,0.44673313389880287,0.9490601409656843,0.9479938295148753,0.46150108641808163,0.46506273133202114,5.061103000014555,0.004968799999915063
interaction,no-prune,123,0.3070749969253913,0.2886635726290601,0.9634787571132105,0.9647769715442708,0.42047348217413827,0.4175259972534661,6.067160199978389,0.006583000009413809
interaction,with-prune,123,0.30917821541557655,0.2921428868045078,0.9632286157663307,0.9643524220207821,0.4221560050896603,0.41918989253864014,6.278144700045232,0.008435300027485937
interaction,no-prune,456,0.4426325612009472,0.5211190990491252,0.9449973352469029,0.9368286851054772,0.47095860685574403,0.4988423372435127,6.254414599970914,0.012480600038543344
interaction,with-prune,456,0.4426325612009472,0.5211190990491252,0.9449973352469029,0.9368286851054772,0.47095860685574403,0.4988423372435127,4.772428099997342,0.006951899966225028
interaction,no-prune,789,0.35598111332918775,0.33821257372374086,0.957696230069542,0.9577956848684858,0.4440079860649339,0.451864897886643,5.829163799993694,0.00865260005230084
interaction,with-prune,789,0.3573955974706907,0.33655804645896087,0.9575281368492786,0.9580021472992216,0.4433798773170074,0.45191148957781807,7.860507800010964,0.006770499981939793
interaction,no-prune,1024,0.2964174214439428,0.35001953583538054,0.9640604759997663,0.955990535669071,0.42589713344643065,0.44293871469415713,5.880771200056188,0.009153600025456399
interaction,with-prune,1024,0.29717949229900276,0.34832841018080185,0.9639680777066704,0.9562031681839867,0.42693565952109763,0.4427842553059302,5.177603099960834,0.011256200028583407
regime,no-prune,42,0.32385595380807836,0.30717945624149684,0.9162558986850803,0.9206751837992314,0.4274849141668936,0.41553300518305253,4.217608900042251,0.00693529995623976
regime,with-prune,42,0.32937922613034226,0.2994686963911537,0.9148276665605608,0.9226663801356683,0.4267288221229943,0.4054698092502693,7.73049450002145,0.0046394000528380275
regime,no-prune,123,0.37286858794187117,0.37600610319449296,0.8985247222665395,0.8978596905203822,0.44625459944292833,0.44710867523550085,6.634625800012145,0.007698699948377907
regime,with-prune,123,0.37470412853067914,0.3753292919293848,0.8980251843674946,0.8980435431533318,0.44746470341649586,0.44629920522362476,4.415371100010816,0.004257499997038394
regime,no-prune,456,0.37395093878334035,0.31971262378151627,0.9017296095776831,0.9139044778293224,0.4528556101344758,0.43249806208216035,3.5957096000202,0.004321899963542819
regime,with-prune,456,0.37781420163185137,0.30959457426038983,0.9007143845600314,0.9166291708569754,0.45525828451301303,0.42751193514793145,3.5536422000150196,0.0033043999574147165
regime,no-prune,789,0.31948166171336223,0.3271352807852452,0.9159518587324342,0.9118613429108132,0.4307555363046968,0.43983810319002076,3.4334372999728657,0.001584300014656037
regime,with-prune,789,0.3209173536037094,0.3235995720447213,0.9155741618274869,0.9128139537680103,0.43047120920620363,0.4372788421627487,3.6111952000064775,0.0018622999778017402
regime,no-prune,1024,0.3361943207936833,0.32582943271484766,0.908154459737486,0.9168635358003139,0.433680751448249,0.43734899447545655,3.6163449000450782,0.006121499987784773
regime,with-prune,1024,0.3394966300636214,0.3192534825486194,0.9072522958392519,0.918541411371647,0.4355953620748904,0.43092257241926585,3.6945122000179254,0.0029119999962858856
