dataset,model,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
scaling,"ACGMT (top1, no-std)",456,3.0402736398426153,2.9605574208132857,0.8520242013038481,0.8584247485244683,1.3521196158122837,1.3554519622179118,0.457157599972561,0.004466000013053417
scaling,"ACGMT (top3, std)",456,3.1393796701825605,3.151983348493741,0.84720052563105,0.8492706704242527,1.4012623601741172,1.3951392161942167,0.9550425999914296,0.00250990001950413
scaling,ACGMT (full),456,2.776017496460765,2.7545646636807346,0.8648860415556086,0.8682754192759133,1.310899185133371,1.3047248408578607,2.1396185000194237,0.004306000017095357
scaling,Ridge,789,6.95188728309069,6.914365810201264,0.6825984175634732,0.6601607056603813,2.0978022901365914,2.0731508149658593,0.0027993000112473965,0.00028849998489022255
scaling,CART,789,9.464100609578825,9.96760617221296,0.567898559413448,0.5100947301887866,2.4517910274618644,2.4937529741763718,0.01880760001949966,0.0007527999696321785
scaling,RandomForest,789,6.468809101498288,6.575507106265607,0.7046542670089808,0.6768155234683184,1.982132147604947,2.017702479427642,1.288425200036727,0.015159400005359203
scaling,GradientBoosting,789,0.28412077863491936,0.586928716772434,0.9870279276591307,0.9711526051107504,0.42555624289916466,0.6116105749806485,1.6006183000281453,0.0029080999665893614
scaling,RHM (original),789,2.8583148594614305,2.976472777333412,0.8694982207635051,0.8537071314945907,1.3229932300772376,1.3529576746296241,1.3377958000055514,1.6521333999698982
scaling,"ACGMT (top1, no-std)",789,2.8583148594614305,2.9764727773334116,0.8694982207635051,0.8537071314945907,1.3229932300772376,1.3529576746296244,0.37228090001735836,0.0029984000138938427
scaling,"ACGMT (top3, std)",789,3.2318219999832465,3.2536110846303625,0.8524450447516725,0.8400858552457526,1.4200873135174048,1.442735706392091,0.7354448999976739,0.0019326999899931252
scaling,ACGMT (full),789,3.551356071824572,3.7287104455264366,0.8378561114282694,0.8167348443244161,1.4723596680292834,1.5311501371026115,1.0742618999793194,0.0009239999926649034
scaling,Ridge,1024,6.7180257214480115,6.096190108769861,0.6831965609611655,0.7016490823174004,2.0715067114964696,1.9712534447575618,0.002295200014486909,0.00016960001084953547
scaling,CART,1024,9.236950496827331,10.986418927947717,0.5644110628686858,0.46231857755169214,2.410455529521738,2.667604451258199,0.017895800003316253,0.00037620001239702106
scaling,RandomForest,1024,6.191174992548886,6.877005873358638,0.708041378426286,0.6634355266786129,1.9232268181214502,2.030358765601258,1.110090600035619,0.011394599976483732
scaling,GradientBoosting,1024,0.28078957407271776,0.6252212628344831,0.9867587433569228,0.9694013253863268,0.42507171435574553,0.6160039626003233,1.5776354999979958,0.002188799961004406
scaling,RHM (original),1024,3.0681150557711385,3.05526904704865,0.8553162132243789,0.8504734419874999,1.365608747435745,1.3648112273725723,0.9915351000381634,1.5010361000313424
scaling,"ACGMT (top1, no-std)",1024,3.068115055771139,3.05526904704865,0.8553162132243789,0.8504734419874999,1.365608747435745,1.3648112273725723,0.48599519999697804,0.0028017000295221806
scaling,"ACGMT (top3, std)",1024,2.9827728568524603,3.228696069692327,0.8593407143551585,0.8419858275211684,1.358573258700261,1.4247840368975648,1.1319130000192672,0.0021945000044070184
scaling,ACGMT (full),1024,3.273817032894393,3.4075388808532217,0.8456158791572315,0.8332331613675933,1.4221049616775898,1.4604924178499314,1.2845254999701865,0.0011384999961592257
correlated,Ridge,42,0.7609772034999613,0.6842770676419389,0.9481852391325577,0.9539825917464566,0.6339128462670528,0.6021258541368683,0.001749899995047599,0.00022460002219304442
correlated,CART,42,2.4311702620337354,2.8570783482200293,0.8344621820785969,0.807862418631867,1.227821939975488,1.3393556414927081,0.013938499963842332,0.0005686000222340226
correlated,RandomForest,42,1.834930974218553,2.1091092312777855,0.8750599765668248,0.8581630963003233,1.0565050489055052,1.150015999206637,1.057952600007411,0.016347800032235682
correlated,GradientBoosting,42,0.20628424459988684,0.3344728046641171,0.9859541537440225,0.9775068136435192,0.36205190188880465,0.45286415825547593,1.4984439999680035,0.002795600041281432
correlated,RHM (original),42,0.28240579832810125,0.25627321370849143,0.9807710548480965,0.9827657104741055,0.4224969099648076,0.39580695740631017,0.9748791000456549,2.0374086999800056
correlated,"ACGMT (top1, no-std)",42,0.28240579832810125,0.25627321370849154,0.9807710548480965,0.9827657104741055,0.4224969099648076,0.39580695740631017,0.3510624999762513,0.0017820000066421926
correlated,"ACGMT (top3, std)",42,0.2530431359959492,0.24474432078462652,0.9827703516997951,0.9835410247400317,0.4023215765747164,0.3913903132669992,1.0739694000221789,0.00303569994866848
correlated,ACGMT (full),42,0.25520745440265796,0.23660489882803615,0.9826229837626627,0.9840883981956627,0.40419417152166803,0.383115864565453,1.5969826999935322,0.0007153000333346426
correlated,Ridge,123,0.7312600637497815,0.6884419783513651,0.9500818240764348,0.9513793131700645,0.6271090616229775,0.6161745652919298,0.0019400999881327152,0.00017750001279637218
correlated,CART,123,2.458610079567995,2.5201948598922437,0.832167327927099,0.8220131704829081,1.2524785603357358,1.2674097886224833,0.013846100016962737,0.00038129999302327633
correlated,RandomForest,123,1.7184679786625543,1.8246120913774586,0.8826918204202062,0.8711381701426413,1.0338037036657926,1.0606419439943457,1.136284500011243,0.01755849999608472
correlated,GradientBoosting,123,0.20526470129015353,0.3300554654202357,0.9859879679229878,0.9766900858382642,0.358918040970799,0.45314983166949024,1.6123039000085555,0.008448400010820478
correlated,RHM (original),123,0.2552717244037743,0.27651897021042143,0.9825743268656612,0.9804710597611533,0.4018675047783469,0.41373392789809643,0.9447235999978147,1.2660902999923564
correlated,"ACGMT (top1, no-std)",123,0.2552717244037743,0.27651897021042143,0.9825743268656612,0.9804710597611533,0.4018675047783469,0.41373392789809643,0.3826755000045523,0.0033768999855965376
correlated,"ACGMT (top3, std)",123,0.2513527593357231,0.27692306825046814,0.9828418480901926,0.9804425206469338,0.3981047698841266,0.4150308281769359,1.1002530999830924,0.0019257999956607819
correlated,ACGMT (full),123,0.2591009907336951,0.2649243592244188,0.9823129287669671,0.9812899202713962,0.40473988701981256,0.4057431239302415,1.8882990999845788,0.0009675000328570604
correlated,Ridge,456,0.7695716271940917,0.7109757500390183,0.9490413523610058,0.9542003521769964,0.6431681423595189,0.6199110858088627,0.0012208999833092093,0.00012929999502375722
correlated,CART,456,2.4147062882823715,2.9702961535578027,0.8401056346829031,0.8086594124265083,1.2360193590346835,1.3442772917601693,0.018850799999199808,0.000678699987474829
correlated,RandomForest,456,1.721832595343636,2.2413538366454087,0.8859855828633325,0.8556164308565177,1.0397755441092156,1.1306298012104399,1.0659376999828964,0.015274100005626678
correlated,GradientBoosting,456,0.20919455755039548,0.37225994169386,0.9861477848591249,0.976019752815402,0.36413098220965506,0.46593456570246167,1.7736129999975674,0.0019318999839015305
correlated,RHM (original),456,0.29065289388006976,0.27485482241875153,0.9807538663314663,0.9822943974269978,0.4253219156921759,0.4150025928195472,0.8445619000121951,1.407928799977526
correlated,"ACGMT (top1, no-std)",456,0.29065289388006965,0.2748548224187515,0.9807538663314663,0.9822943974269978,0.4253219156921759,0.4150025928195472,0.38810179999563843,0.0018502000020816922
