dataset,config,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
irrelevant,fixed-grid,42,0.2504458627666014,0.32946342597723544,0.9935844643532337,0.9916953924078242,0.3986934805856162,0.459084711793516,4.610125400009565,0.008217099995817989
irrelevant,adaptive-grid,42,0.24796019084484452,0.3160870590896601,0.9936481384608593,0.9920325633022287,0.3979702897324336,0.4518105430322458,7.934682600025553,0.007362200005445629
irrelevant,fixed-grid,123,0.24328808233974716,0.27899903924769215,0.9940156299299867,0.992577269042731,0.39190409799591314,0.4238649543569678,4.179636600019876,0.010518800001591444
irrelevant,adaptive-grid,123,0.2425698121699468,0.28447863463725925,0.9940332978505235,0.9924314851631839,0.3890569976522559,0.4293827683308266,6.767033500014804,0.009034599992446601
irrelevant,fixed-grid,456,0.26326952793420194,0.3010439705662742,0.993480772873406,0.9925728124785379,0.4054670153638601,0.43436005206998596,3.896260900015477,0.007770799973513931
irrelevant,adaptive-grid,456,0.2573252335344548,0.30058926801203334,0.9936279688121209,0.9925840306442115,0.4034239938752769,0.4402103252899823,6.996680099982768,0.006122999999206513
irrelevant,fixed-grid,789,0.2586887318750032,0.2940502041290336,0.9934952897496412,0.991707969253548,0.40180509630900657,0.4345226087158262,4.629325299989432,0.008787799975834787
irrelevant,adaptive-grid,789,0.24911687248015826,0.2950984392706214,0.9937359734913309,0.991678409682082,0.39663954172545823,0.4374518105696083,8.926976200018544,0.03983480000169948
irrelevant,fixed-grid,1024,0.2490970586570737,0.31183608372633836,0.9935518928371139,0.9926837905792201,0.3957407550945396,0.4398328746155643,5.422484100039583,0.008547800011001527
irrelevant,adaptive-grid,1024,0.25172231759687297,0.3212909318019206,0.9934839355875766,0.992461963625341,0.3962638341696114,0.44437248579555694,7.623746199999005,0.011786699993535876
interaction,fixed-grid,42,0.40383639309313424,0.4448740339846065,0.9508654055956242,0.9482102555190152,0.46583500494303853,0.4690750407774822,3.095943599997554,0.006459399999585003
interaction,adaptive-grid,42,0.3662473117108476,0.44387999284685115,0.9554388524155243,0.9483259762232937,0.4545026224257399,0.4603594246542384,6.798747699998785,0.0043107999954372644
interaction,fixed-grid,123,0.30422650282409164,0.29449675237835804,0.9638175360629028,0.9640652009026701,0.41731784597529575,0.42501876830572954,3.443878600024618,0.010292199964169413
interaction,adaptive-grid,123,0.3045949709214767,0.28454121637267077,0.9637737131759359,0.9652799857292648,0.4171467801516665,0.4165404214066475,6.336959599982947,0.011194200022146106
interaction,fixed-grid,456,0.4279559261460615,0.45780828529430895,0.9468210918079594,0.9445033747478866,0.46300000123936125,0.4798257353277858,3.5501715000136755,0.005506900022737682
interaction,adaptive-grid,456,0.4003305391033608,0.4485942242178969,0.9502538937194627,0.9456203254694729,0.4515978728589612,0.4856640753872575,5.383909899974242,0.007408700010273606
interaction,fixed-grid,789,0.4457640268396299,0.39483340174678905,0.9470266872915247,0.950730177981554,0.47695609302401715,0.4681379734159576,3.8393250000081025,0.014300900045782328
interaction,adaptive-grid,789,0.37833940752260675,0.3558355476036505,0.95503923480159,0.9555965781499115,0.46112524804488364,0.4693744609413067,10.54264439997496,0.0049733000341802835
interaction,fixed-grid,1024,0.2825234866149529,0.33127610131591106,0.9657450645837021,0.958347228448961,0.41854743405920386,0.4315738364392927,3.3091780000249855,0.029437399993184954
interaction,adaptive-grid,1024,0.28066586502938096,0.33481789133875,0.9659702943803612,0.9579019039292717,0.4189030607130884,0.4385783284726876,6.940537499962375,0.013398499984759837
regime,fixed-grid,42,0.30449575134463613,0.2883698182071586,0.921262145250912,0.9255325108422998,0.4259737285355866,0.4092976960749704,6.771817700006068,0.016430700023192912
regime,adaptive-grid,42,0.2898907088648995,0.26121330123769587,0.9250387815694667,0.9325453031156284,0.417249768734278,0.39864511032280253,6.635009999969043,0.006830000027548522
regime,fixed-grid,123,0.37394429581331146,0.41141663765205244,0.8982319709902332,0.8882405834963056,0.45115691939458535,0.4695076817919826,8.887342199974228,0.01980449998518452
regime,adaptive-grid,123,0.3586433159390729,0.36658179658085394,0.9023960953829657,0.9004197595883302,0.43862656793725896,0.4485189018312063,6.806239900004584,0.006456200033426285
regime,fixed-grid,456,0.3783536612880815,0.3672476443349054,0.9005726202119934,0.9011037558323871,0.4544555386851805,0.4464402827770748,5.380636200017761,0.010476599971298128
regime,adaptive-grid,456,0.36688345084855,0.32038947248200295,0.9035868713910016,0.9137222090105009,0.4514115550084697,0.4347477015795274,7.269847000017762,0.007502600026782602
